2022-12-05 05:19:25,418 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:15:29')'
2022-12-05 05:19:27,213 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:15:29')
2022-12-05 05:19:28,124 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:15:29')'
2022-12-05 05:19:28,127 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 05:35:36,361 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-09')'
2022-12-05 05:36:51,068 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:35:29')'
2022-12-05 05:36:52,848 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:35:29')
2022-12-05 05:36:52,852 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 05:47:44,485 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:45:29')'
2022-12-05 05:48:11,089 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:45:29')'
2022-12-05 05:48:12,816 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:45:29')
2022-12-05 05:48:12,820 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 05:49:06,557 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:45:29')'
2022-12-05 05:49:08,357 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:45:29')
2022-12-05 05:49:08,361 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 06:43:15,035 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:40:29')'
2022-12-05 06:43:21,549 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:40:29')'
2022-12-05 06:43:23,325 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:40:29')
2022-12-05 06:43:23,331 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 06:44:32,363 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:40:29')'
2022-12-05 06:44:34,177 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:40:29')
2022-12-05 06:44:34,180 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 06:44:38,553 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:40:29')'
2022-12-05 06:44:40,342 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:40:29')
2022-12-05 06:44:40,345 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 06:44:55,953 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:40:29')
2022-12-05 06:44:56,847 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:40:29')'
2022-12-05 06:44:56,850 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 06:53:18,216 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:50:29')'
2022-12-05 06:53:20,063 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:50:29')
2022-12-05 06:53:20,067 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 06:53:30,716 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:50:29')'
2022-12-05 06:53:32,535 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:50:29')
2022-12-05 06:53:32,539 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 06:55:08,628 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:55:29')'
2022-12-05 06:55:10,398 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:55:29')
2022-12-05 06:55:10,402 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 06:55:37,907 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:55:29')'
2022-12-05 06:55:39,811 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:55:29')
2022-12-05 06:55:39,816 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 06:58:09,024 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:55:29')'
2022-12-05 06:58:10,820 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:55:29')
2022-12-05 06:58:10,825 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 07:04:54,493 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:00:29')'
2022-12-05 07:04:56,345 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:00:29')
2022-12-05 07:04:56,350 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 07:12:40,619 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:10:29')
2022-12-05 07:12:41,567 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:10:29')'
2022-12-05 07:12:41,571 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 07:23:45,552 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:20:29')
2022-12-05 07:23:46,483 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:20:29')'
2022-12-05 07:23:46,487 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 07:24:19,762 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:20:29')'
2022-12-05 07:24:21,529 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:20:29')
2022-12-05 07:24:21,534 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 07:25:41,804 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:25:29')'
2022-12-05 07:25:43,554 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:25:29')
2022-12-05 07:25:43,560 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-05 07:26:11,642 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:25:29')
