2022-12-07 05:29:40,503 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:29:42,002 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:35:54,506 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:36:10,597 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01 00:00:01')'
2022-12-07 05:36:16,303 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01 00:00:04')'
2022-12-07 05:37:22,115 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:38:49,705 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:41:29,118 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:41:34,633 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:41:49,552 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:42:03,575 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:43:05,423 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:43:11,489 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 05:44:12,609 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 06:05:57,387 | UposService | INFO | succeed to do 'GetefficiencyData('20210409')'
2022-12-07 06:07:01,615 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-08')'
2022-12-07 06:12:07,370 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-16')'
2022-12-07 06:38:23,910 | UposService | INFO | error to do 'GetefficiencyData('2021-04-16')'
2022-12-07 06:38:28,433 | UposService | INFO | error to do 'GetefficiencyData('2021-04-16')'
2022-12-07 06:38:29,407 | UposService | INFO | error to do 'GetefficiencyData('2021-04-16')'
2022-12-07 06:38:29,587 | UposService | INFO | error to do 'GetefficiencyData('2021-04-16')'
2022-12-07 06:38:29,728 | UposService | INFO | error to do 'GetefficiencyData('2021-04-16')'
2022-12-07 06:38:53,029 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 06:39:04,688 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 06:39:32,339 | UposService | INFO | error to do 'GetefficiencyData('2021-04-01')'
2022-12-07 06:39:51,030 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 06:40:00,891 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-16')'
2022-12-07 06:41:02,190 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:40:29')
2022-12-07 06:41:24,030 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:40:29')'
2022-12-07 06:42:07,508 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:40:29')
2022-12-07 06:42:29,068 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:40:29')'
2022-12-07 06:42:29,300 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-14')'
2022-12-07 06:42:29,508 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-14')'
2022-12-07 06:49:00,988 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01')'
2022-12-07 06:49:10,032 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-02')'
2022-12-07 06:50:35,622 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-03')'
2022-12-07 06:52:24,019 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 15:50:29')
2022-12-07 06:52:45,631 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 15:50:29')'
2022-12-07 07:02:10,450 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:00:29')'
2022-12-07 07:02:54,566 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:00:29')
2022-12-07 07:02:54,790 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-08')'
2022-12-07 07:04:52,273 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:00:29')'
2022-12-07 07:05:35,955 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:00:29')
2022-12-07 07:08:18,240 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:05:29')'
2022-12-07 07:09:00,985 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:05:29')
2022-12-07 07:09:22,309 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:05:29')'
2022-12-07 07:10:06,437 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:05:29')
2022-12-07 07:10:49,485 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:05:29')
2022-12-07 07:11:11,636 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:05:29')'
2022-12-07 07:15:07,043 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:10:29')'
2022-12-07 07:15:52,611 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:10:29')
2022-12-07 07:16:15,388 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:10:29')'
2022-12-07 07:17:02,915 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:10:29')
2022-12-07 07:17:48,258 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 16:15:29')
2022-12-07 07:18:09,922 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 16:15:29')'
