2022-12-04 12:28:47,020 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:25:29')'
2022-12-04 12:28:47,024 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:29:45,044 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:25:29')'
2022-12-04 12:29:45,056 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:30:51,758 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:30:29')'
2022-12-04 12:30:51,763 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:34:34,538 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:30:29')'
2022-12-04 12:34:34,542 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:43:03,872 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:40:29')'
2022-12-04 12:43:03,875 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:44:43,556 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:40:29')'
2022-12-04 12:44:43,560 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:45:24,656 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:45:29')'
2022-12-04 12:45:24,660 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:46:36,388 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:45:29')'
2022-12-04 12:46:36,392 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:46:48,428 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:45:29')'
2022-12-04 12:46:48,450 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:47:00,594 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:45:29')'
2022-12-04 12:47:00,598 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:47:54,162 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:45:29')'
2022-12-04 12:47:54,169 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:48:33,065 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:45:29')'
2022-12-04 12:48:33,069 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:50:28,375 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:50:29')'
2022-12-04 12:50:28,378 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:51:15,261 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:50:29')'
2022-12-04 12:51:15,264 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-04 12:51:40,660 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 21:50:29')'
2022-12-04 12:51:40,664 | UposService | INFO | error to do 'GetAHUInfo('')
