2022-11-26 04:33:26,950 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024133000')'
2022-11-26 04:33:29,424 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-26 04:33:29,531 | FemsService | INFO | succeed to do 'GetAHUInfo('AHU-01')'
2022-11-26 04:33:32,834 | FemsService | INFO | succeed to do 'GetAHUData('A00','20221018','20221018')'
2022-11-26 04:33:39,150 | FemsService | INFO | succeed to do 'GetLpDataDaily('202207',202208)'
2022-11-26 04:33:50,409 | FemsService | INFO | succeed to do 'GetLpDataDaily('202208',202209)'
2022-11-26 05:25:25,848 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024142500')'
2022-11-26 05:25:30,916 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221007')'
2022-11-26 05:28:32,436 | FemsService | INFO | succeed to do 'GetLpDataHourly('20220105')'
