2022-12-02 01:35:57,100 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 01:38:01,816 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:35:29')'
2022-12-02 01:38:11,712 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:35:29')'
2022-12-02 01:38:18,021 | UposService | INFO | error to do 'GetAHUConfiguration()
2022-12-02 01:38:18,113 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 01:38:26,224 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 01:38:27,607 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 01:45:56,587 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:45:29')'
2022-12-02 01:50:58,892 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:50')'
2022-12-02 01:55:59,567 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:55')'
2022-12-02 02:01:00,955 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 11:00')'
2022-12-02 02:03:39,854 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 11:00:29')'
2022-12-02 02:19:47,140 | UposService | INFO | error to do 'GetAHUConfiguration()
2022-12-02 02:19:47,247 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 03:05:36,529 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 03:18:36,336 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 03:18:37,288 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 03:18:38,188 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 03:18:39,078 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 03:18:39,970 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 03:18:40,868 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-02 03:18:43,343 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-16')'
2022-12-02 03:18:52,445 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-02 03:19:18,030 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 12:15:29')'
2022-12-02 03:20:18,182 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 12:20')'
2022-12-02 03:20:19,166 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 12:20')'
2022-12-02 03:21:42,265 | UposService | INFO | error to do 'GetAHUConfiguration()
2022-12-02 03:21:42,358 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 03:24:05,762 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-23')'
2022-12-02 03:24:06,738 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-23')'
2022-12-02 03:24:25,857 | UposService | INFO | error to do 'GetAHUConfiguration()
2022-12-02 03:24:25,930 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 03:24:36,036 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-07')'
2022-12-02 03:46:50,460 | UposService | INFO | error to do 'GetAHUConfiguration()
2022-12-02 03:46:50,548 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 03:47:07,348 | UposService | INFO | error to do 'GetAHUConfiguration()
2022-12-02 03:47:07,444 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 03:48:02,481 | UposService | INFO | error to do 'GetAHUConfiguration()
2022-12-02 03:48:02,574 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 03:48:05,999 | UposService | INFO | error to do 'GetAHUConfiguration()
2022-12-02 03:48:06,103 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 05:17:05,827 | UposService | INFO | error to do 'GetAHUConfiguration()
2022-12-02 05:17:06,184 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 05:17:12,980 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:15:29')'
2022-12-02 05:17:34,422 | UposService | INFO | error to do 'GetAHUConfiguration()
2022-12-02 05:17:34,514 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-02 05:17:49,996 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-16')'
2022-12-02 05:18:03,608 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-02')'
