2022-11-25 11:00:17,978 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024200000')'
2022-11-25 11:00:31,796 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221006')'
2022-11-25 11:00:36,896 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221006')'
2022-11-25 11:00:37,262 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221006')'
2022-11-25 11:00:37,433 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221006')'
2022-11-25 11:00:37,662 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221006')'
2022-11-25 11:00:45,226 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-25 11:00:45,310 | FemsService | INFO | succeed to do 'GetAHUInfo('AHU-01')'
2022-11-25 11:00:52,115 | FemsService | INFO | succeed to do 'GetAHUData('A00','20221005','20221005')'
2022-11-25 11:08:28,637 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-25 11:08:28,681 | FemsService | INFO | succeed to do 'GetAHUInfo('')'
2022-11-25 11:08:49,990 | FemsService | INFO | succeed to do 'GetAHUData('A00','20220916','20220916')'
2022-11-25 11:08:50,518 | FemsService | INFO | succeed to do 'GetAHUData('A00','20220916','20220916')'
2022-11-25 11:11:29,225 | FemsService | INFO | succeed to do 'GetLpDataDaily('202207',202208)'
2022-11-25 11:11:53,763 | FemsService | INFO | succeed to do 'GetLpDataDaily('202207',202208)'
2022-11-25 11:11:54,488 | FemsService | INFO | succeed to do 'GetLpDataDaily('202207',202208)'
2022-11-25 11:11:54,973 | FemsService | INFO | succeed to do 'GetLpDataDaily('202207',202208)'
2022-11-25 11:11:55,219 | FemsService | INFO | succeed to do 'GetLpDataDaily('202207',202208)'
2022-11-25 11:16:19,450 | FemsService | INFO | succeed to do 'GetLpDataDaily('202203',202204)'
2022-11-25 11:16:19,788 | FemsService | INFO | succeed to do 'GetLpDataDaily('202203',202204)'
2022-11-25 11:16:20,006 | FemsService | INFO | succeed to do 'GetLpDataDaily('202203',202204)'
2022-11-25 11:16:20,174 | FemsService | INFO | succeed to do 'GetLpDataDaily('202203',202204)'
2022-11-25 11:16:36,006 | FemsService | INFO | succeed to do 'GetLpDataDaily('202202',202203)'
2022-11-25 11:16:36,243 | FemsService | INFO | succeed to do 'GetLpDataDaily('202202',202203)'
2022-11-25 11:16:36,407 | FemsService | INFO | succeed to do 'GetLpDataDaily('202202',202203)'
2022-11-25 11:16:36,590 | FemsService | INFO | succeed to do 'GetLpDataDaily('202202',202203)'
2022-11-25 11:16:36,752 | FemsService | INFO | succeed to do 'GetLpDataDaily('202202',202203)'
2022-11-25 11:16:40,241 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-25 11:16:40,439 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-25 11:16:40,631 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-25 11:16:40,811 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-25 11:16:40,971 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-25 11:16:41,126 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-25 11:16:41,298 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-25 11:16:41,466 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-25 11:16:41,652 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-25 11:16:41,926 | FemsService | INFO | succeed to do 'GetLpDataHourly('20221005')'
2022-11-25 11:17:24,575 | FemsService | INFO | succeed to do 'GetAHUSetSupData('20221024201500')'
2022-11-25 11:20:24,575 | FemsService | INFO | succeed to do 'GetAHUSetSupData('202210242020')'
