2022-11-30 05:32:59,692 | UposService | INFO | error to do 'GetAHUInfo('')
2022-11-30 05:46:18,993 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 14:45:29')'
2022-11-30 05:46:49,152 | UposService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-30 05:46:49,214 | UposService | INFO | error to do 'GetAHUInfo('')
2022-11-30 05:49:30,278 | UposService | INFO | succeed to do 'GetAHUData('2021-04-01 00:00:29')
2022-11-30 07:03:52,129 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 16:00:29')'
2022-11-30 07:05:52,229 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 16:05')'
2022-11-30 07:06:39,483 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 16:05:29')'
2022-11-30 07:07:46,979 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 16:05:29')'
2022-11-30 07:08:24,521 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 16:05:29')'
2022-11-30 07:10:47,335 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 16:10')'
2022-11-30 07:11:09,238 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-07-31 16:10:29')'
2022-11-30 07:11:09,257 | UposService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-30 07:11:09,277 | UposService | INFO | error to do 'GetAHUInfo('')
2022-11-30 07:11:31,668 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-07-31 16:10:29')'
2022-11-30 07:12:38,562 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-07-31 16:10:29')'
2022-11-30 07:12:38,575 | UposService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-30 07:12:38,593 | UposService | INFO | error to do 'GetAHUInfo('')
2022-11-30 07:12:42,219 | UposService | INFO | error to do 'GetAHUInfo('CH-A1203')
2022-11-30 07:13:06,635 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-07-31 16:10:29')'
2022-11-30 07:13:38,759 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-07-31 16:10:29')'
2022-11-30 07:14:01,605 | UposService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-30 07:14:01,699 | UposService | INFO | error to do 'GetAHUInfo('')
2022-11-30 07:18:05,604 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-07-31 00:00:29')'
2022-11-30 07:18:42,236 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-07-25 00:00:29')'
2022-11-30 07:19:12,585 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 00:00:29')'
2022-11-30 07:21:01,323 | UposService | INFO | succeed to do 'GetAHUData('2021-04-01 00:00:29')
2022-11-30 07:57:13,086 | UposService | INFO | error to do 'GetAHUInfo('CH-A1203')
2022-11-30 08:39:36,470 | UposService | INFO | error to do 'GetAHUData('2021-04-01 00:00:29')
2022-11-30 08:40:35,997 | UposService | INFO | error to do 'GetAHUData('2021-04-01 00:00:29')
2022-11-30 08:41:14,838 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 00:00:29')'
2022-11-30 08:42:42,963 | UposService | INFO | succeed to do 'GetAHUData('2021-04-01 00:00:29')
