2022-12-06 01:06:55,180 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:06:55,598 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:06:56,187 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-06 01:06:56,195 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:08:03,492 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:08:03,825 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-06 01:08:03,829 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:08:13,128 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:08:13,448 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-06 01:08:13,453 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:08:51,634 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-06 01:08:51,817 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:08:51,821 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:09:02,496 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:09:02,823 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-06 01:09:02,827 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:09:19,841 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-06 01:09:20,039 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:09:20,044 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:09:32,624 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:09:32,951 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-06 01:09:32,955 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:09:42,346 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:09:42,703 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-06 01:09:42,707 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:09:53,973 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-06 01:09:54,161 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:09:54,165 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:09:59,814 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:05:29')
2022-12-06 01:10:00,005 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:05:29')'
2022-12-06 01:10:00,010 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:10:05,935 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:10:29')'
2022-12-06 01:10:06,267 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:10:29')
2022-12-06 01:10:06,271 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:10:26,552 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:10')'
2022-12-06 01:10:48,146 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:10:29')'
2022-12-06 01:10:48,471 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:10:29')
2022-12-06 01:10:48,475 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:12:11,948 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:10:29')'
2022-12-06 01:12:12,313 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:10:29')
2022-12-06 01:12:12,319 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:12:19,684 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:10:29')
2022-12-06 01:12:19,852 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:10:29')'
2022-12-06 01:12:19,858 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:13:48,756 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:10:29')'
2022-12-06 01:13:49,103 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:10:29')
2022-12-06 01:13:49,107 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:14:01,805 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:10:29')'
2022-12-06 01:14:02,160 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:10:29')
2022-12-06 01:14:02,164 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:14:12,533 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:10:29')'
2022-12-06 01:14:12,865 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:10:29')
2022-12-06 01:14:12,870 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:14:53,458 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:10:29')'
2022-12-06 01:14:53,850 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:10:29')
2022-12-06 01:14:53,856 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:15:10,617 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:15:29')'
2022-12-06 01:15:10,987 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:15:29')
2022-12-06 01:15:10,990 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:15:31,605 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:15')'
2022-12-06 01:15:52,704 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:15:29')'
2022-12-06 01:15:53,161 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:15:29')
2022-12-06 01:15:53,165 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:16:07,769 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:15:29')'
2022-12-06 01:16:08,136 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:15:29')
2022-12-06 01:16:08,139 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:19:26,958 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:15:29')'
2022-12-06 01:19:27,357 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:15:29')
2022-12-06 01:19:27,362 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:20:26,088 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:20:29')'
2022-12-06 01:20:26,410 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:20:29')
2022-12-06 01:20:26,414 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:20:36,538 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:20')'
2022-12-06 01:21:05,370 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:20:29')'
2022-12-06 01:21:05,885 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:20:29')
2022-12-06 01:21:05,891 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:25:41,572 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:25')'
2022-12-06 01:30:46,546 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:30')'
2022-12-06 01:32:39,490 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:30:29')'
2022-12-06 01:33:31,597 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:30:29')'
2022-12-06 01:33:35,431 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:30:29')'
2022-12-06 01:35:35,423 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:35')'
2022-12-06 01:35:39,553 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:35')'
2022-12-06 01:40:35,543 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40')'
2022-12-06 01:40:39,627 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40')'
2022-12-06 01:40:40,784 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:42:49,635 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:42:49,964 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:40:29')
2022-12-06 01:42:49,967 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:43:18,055 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:43:21,594 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:43:23,824 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:43:24,212 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:40:29')
2022-12-06 01:43:24,215 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:43:36,310 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:43:37,745 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:43:38,141 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:40:29')
2022-12-06 01:43:38,145 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:43:49,503 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:43:51,667 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:43:52,041 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:40:29')
2022-12-06 01:43:52,045 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:44:23,960 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:44:26,958 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:40:29')'
2022-12-06 01:44:27,321 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 10:40:29')
2022-12-06 01:44:27,326 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 01:45:39,699 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:45')'
2022-12-06 01:50:39,724 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:50')'
2022-12-06 01:55:39,798 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 10:55')'
2022-12-06 02:00:41,598 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:00')'
2022-12-06 02:02:07,716 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:00:29')'
2022-12-06 02:02:08,036 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 11:00:29')
2022-12-06 02:02:08,040 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 02:05:46,545 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:05')'
2022-12-06 02:10:51,537 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:10')'
2022-12-06 02:15:56,544 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:15')'
2022-12-06 02:21:01,540 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:20')'
2022-12-06 02:25:05,553 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:25')'
2022-12-06 02:30:10,565 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:30')'
2022-12-06 02:35:15,623 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:35')'
2022-12-06 02:40:20,572 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:40')'
2022-12-06 02:45:25,557 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:45')'
2022-12-06 02:50:30,555 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:50')'
2022-12-06 02:55:35,525 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 11:55')'
2022-12-06 03:00:25,654 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-07')'
2022-12-06 03:00:29,121 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:00:29')'
2022-12-06 03:00:34,714 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-06 03:00:40,595 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:00')'
2022-12-06 03:00:55,699 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-08')'
2022-12-06 03:01:10,169 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-06 03:03:50,287 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 00:00:29')
2022-12-06 03:05:00,928 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 12:00:29')
2022-12-06 03:05:01,144 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:00:29')'
2022-12-06 03:05:01,148 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 03:05:45,589 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:05')'
2022-12-06 03:10:50,593 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:10')'
2022-12-06 03:15:55,664 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:15')'
2022-12-06 03:21:00,607 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:20')'
2022-12-06 03:25:04,559 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:25')'
2022-12-06 03:30:09,596 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:30')'
2022-12-06 03:35:14,554 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:35')'
2022-12-06 03:36:42,604 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-01')'
2022-12-06 03:36:53,843 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 12:35:29')
2022-12-06 03:36:54,034 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:35:29')'
2022-12-06 03:36:54,037 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 03:40:19,603 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:40')'
2022-12-06 03:45:21,381 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 12:45:29')
2022-12-06 03:45:21,558 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:45:29')'
2022-12-06 03:45:21,562 | UposService | INFO | error to do 'GetAHUInfo('')
2022-12-06 03:45:24,600 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:45')'
2022-12-06 03:46:34,798 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:45:29')'
2022-12-06 03:46:35,168 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 12:45:29')
2022-12-06 03:46:35,172 | UposService | INFO | error to do 'GetAHUInfo('')
