2022-12-08 03:01:06,137 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:06,297 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:15,991 | UposService | INFO | error to do 'GetMLData('2022-04-01 00:00:29')'
2022-12-08 03:01:19,227 | UposService | INFO | error to do 'GetMLData('2021-04-01 00:00:29')'
2022-12-08 03:01:20,039 | UposService | INFO | error to do 'GetMLData('2021-04-01 00:00:29')'
2022-12-08 03:01:20,431 | UposService | INFO | error to do 'GetMLData('2021-04-01 00:00:29')'
2022-12-08 03:01:20,587 | UposService | INFO | error to do 'GetMLData('2021-04-01 00:00:29')'
2022-12-08 03:02:09,819 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 00:00:29')'
2022-12-08 03:11:25,493 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 00:00:29')'
2022-12-08 03:13:50,015 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 00:00:29')'
2022-12-08 03:43:51,801 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:40:29')'
2022-12-08 03:43:51,979 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 12:40:29')'
2022-12-08 03:43:52,295 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 12:40:29')
2022-12-08 03:43:52,458 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 12:40:29')'
2022-12-08 03:46:05,046 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:45:29')'
2022-12-08 03:46:05,362 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 12:45:29')
2022-12-08 03:46:05,544 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 12:45:29')'
2022-12-08 03:46:05,709 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 12:45:29')'
2022-12-08 03:47:07,220 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-01 12:45:29')'
2022-12-08 03:47:19,486 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-14')'
2022-12-08 03:47:24,701 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-14')'
2022-12-08 03:47:25,175 | UposService | INFO | succeed to do 'GetefficiencyData('2021-04-14')'
2022-12-08 03:47:46,185 | UposService | INFO | succeed to do 'GetLpDataHourly('2021-04-22')'
2022-12-08 03:47:57,576 | UposService | INFO | succeed to do 'GetLpDataDaily('2021-04',2021-05)'
2022-12-08 03:48:06,549 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 12:45:29')
2022-12-08 03:48:06,741 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 12:45:29')'
2022-12-08 03:48:06,911 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:45:29')'
2022-12-08 03:48:07,099 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 12:45:29')'
2022-12-08 03:48:51,125 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 12:45:29')'
2022-12-08 03:48:51,480 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 12:45:29')
2022-12-08 03:48:51,662 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 12:45:29')'
2022-12-08 03:48:51,849 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 12:45:29')'
2022-12-08 05:11:56,373 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:10:29')'
2022-12-08 05:11:56,782 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:10:29')
2022-12-08 05:11:56,948 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:10:29')'
2022-12-08 05:11:57,131 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:10:29')'
2022-12-08 05:16:00,016 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:15:29')
2022-12-08 05:16:00,420 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:15:29')'
2022-12-08 05:16:00,609 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:15:29')'
2022-12-08 05:16:00,790 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:15:29')'
2022-12-08 05:18:39,821 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:15:29')'
2022-12-08 05:18:39,991 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:15:29')'
2022-12-08 05:18:40,322 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:15:29')
2022-12-08 05:18:40,517 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:15:29')'
2022-12-08 05:21:31,092 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:20:29')'
2022-12-08 05:21:31,252 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:20:29')'
2022-12-08 05:21:31,434 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:20:29')'
2022-12-08 05:21:31,772 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:20:29')
2022-12-08 05:25:00,400 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:20:29')'
2022-12-08 05:25:00,604 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:20:29')'
2022-12-08 05:25:00,888 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:20:29')'
2022-12-08 05:25:01,268 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:20:29')
2022-12-08 05:25:19,430 | UposService | INFO | succeed to do 'Getrun_numData('2021-04-01 14:25:29')'
2022-12-08 05:25:19,610 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:25:29')'
2022-12-08 05:25:19,970 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:25:29')
2022-12-08 05:25:20,194 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:25:29')'
2022-12-08 05:25:58,811 | UposService | INFO | succeed to do 'Get_ChilledWater_T_Data('2021-04-01 14:25:29')'
2022-12-08 05:25:59,152 | UposService | INFO | succeed to do 'GetUpiData('2021-04-01 14:25:29')
2022-12-08 05:25:59,372 | UposService | INFO | succeed to do 'GetMLData('2021-04-01 14:25:29')'
